"Korean Name","English Name","Searched Eng Name","Functions"
"이눌린라우릴카바메이트","Inulin Lauryl Carbamate","INULIN LAURYL CARBAMATE","EMULSION STABILISING | SURFACTANT - CLEANSING"
"이디티에이","EDTA","POTASSIUM EDTA-PLATINUM","ANTIMICROBIAL | ANTIOXIDANT | SKIN CONDITIONING - HUMECTANT"
"이소아밀p-메톡시신나메이트","Isoamyl p-Methoxycinnamate","ISOAMYL P-METHOXYCINNAMATE","LIGHT STABILIZER | UV ABSORBER | UV FILTER"
"익모초추출물","Leonurus Sibiricus Extract","LEONURUS SIBIRICUS SEED EXTRACT","SKIN CONDITIONING"
"인도멀구슬나무껍질추출물","Melia Azadirachta Bark Extract","MELIA AZADIRACHTA BARK EXTRACT","ANTIMICROBIAL | SKIN PROTECTING"
"인도멀구슬나무꽃추출물","Melia Azadirachta Flower Extract","MELIA AZADIRACHTA FLOWER EXTRACT","SKIN CONDITIONING"
"인도멀구슬나무잎추출물","Melia Azadirachta Leaf Extract","MELIA AZADIRACHTA BRANCH/LEAF EXTRACT","SKIN PROTECTING"
"인도멀구슬나무추출물","Melia Azadirachta Extract","MELIA AZADIRACHTA BRANCH/LEAF EXTRACT","SKIN PROTECTING"
"인돌아세틱애씨드","Indole Acetic Acid","INDOLE ACETIC ACID","SKIN CONDITIONING"
"인동덩굴꽃추출물","Lonicera Japonica (Honeysuckle) Flower Extract","LONICERA JAPONICA FLOWER EXTRACT","SKIN CONDITIONING"
"인디고추출물","Indigofera Tinctoria Extract","INDIGOFERA TINCTORIA LEAF EXTRACT","SKIN CONDITIONING"
"인디안구스베리열매추출물","Phyllanthus Emblica Fruit Extract","PHYLLANTHUS EMBLICA FRUIT EXTRACT","HUMECTANT | SKIN CONDITIONING"
"인삼수","Panax Ginseng Root Water","PANAX GINSENG ROOT WATER","HAIR CONDITIONING | FRAGRANCE | SKIN PROTECTING | TONIC"
"인삼열매추출물","Panax Ginseng Berry Extract","PANAX GINSENG BERRY EXTRACT","SKIN CONDITIONING | SKIN PROTECTING"
"인삼추출물","Panax Ginseng Root Extract","LACTOBACILLUS/ANGELICA GIGAS ROOT EXTRACT/PANAX GINSENG ROOT EXTRACT/RUBUS COREANUS FRUIT EXTRACT/SCHISANDRA CHINENSIS FRUIT EXTRACT FERMENT FILTRATE","SKIN CONDITIONING"
"인삼캘러스배양추출물","Panax Ginseng Callus Culture Extract","PANAX GINSENG CALLUS CULTURE EXTRACT","SKIN CONDITIONING"
"인카르나타시계꽃전초추출물","Passiflora Incarnata Extract","PASSIFLORA INCARNATA FLOWER EXTRACT","SKIN CONDITIONING | SKIN PROTECTING"
"일라이트","Illite","ILLITE EXTRACT","SKIN CONDITIONING"
"일랑일랑꽃오일","Cananga Odorata Flower Oil","CANANGA ODORATA FLOWER OIL","FRAGRANCE | PERFUMING"
"일본목련나무껍질추출물","Magnolia Obovata Bark Extract","MAGNOLIA OBOVATA BARK EXTRACT","SKIN CONDITIONING"
"잇꽃꽃추출물","Carthamus Tinctorius (Safflower) Flower Extract","CARTHAMUS TINCTORIUS FLOWER EXTRACT","SKIN CONDITIONING"
"잇꽃씨오일","Carthamus Tinctorius (Safflower) Seed Oil","SAFFLOWER SEED OIL PIPERONYL ESTERS","SKIN CONDITIONING"
"잉카피넛씨오일","Plukenetia Volubilis Seed Oil","PLUKENETIA VOLUBILIS SEED OIL","SKIN CONDITIONING - EMOLLIENT | HUMECTANT | SKIN PROTECTING"
"잎새버섯자실체추출물","Grifola Frondosa Fruiting Body Extract","GRIFOLA FRONDOSA FRUITING BODY EXTRACT","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"자두추출물","Prunus Salicina Fruit Extract","PRUNUS SALICINA FRUIT EXTRACT","ANTIOXIDANT"
"자란뿌리추출물","Bletilla Striata Root Extract","BLETILLA STRIATA ROOT EXTRACT","SKIN CONDITIONING"
"자몽껍질오일","Citrus Paradisi (Grapefruit) Peel Oil","CITRUS PARADISI PEEL OIL","FRAGRANCE | PERFUMING"
"자몽씨오일","Citrus Paradisi (Grapefruit) Seed Oil","CITRUS PARADISI SEED OIL","SKIN CONDITIONING | PERFUMING"
"자몽씨추출물","Citrus Paradisi (Grapefruit) Seed Extract","CITRUS PARADISI SEED EXTRACT","FRAGRANCE | PERFUMING"
"자몽추출물","Citrus Paradisi (Grapefruit) Fruit Extract","CITRUS PARADISI FRUIT EXTRACT","SKIN CONDITIONING"
"자이모모나스발효추출물","Zymomonas Ferment Extract","ZYMOMONAS FERMENT EXTRACT","HUMECTANT | SKIN CONDITIONING"
"자이언트켈프단백질","Macrocystis Pyrifera (Kelp) Protein","MACROCYSTIS PYRIFERA PROTEIN","SKIN CONDITIONING"
"자이언트켈프추출물","Macrocystis Pyrifera (Kelp) Extract","MACROCYSTIS PYRIFERA EXTRACT","SKIN CONDITIONING"
"자일로오스","Xylose","XYLOSE","HUMECTANT | FRAGRANCE | SKIN CONDITIONING"
"자일리톨","Xylitol","XYLITOL","ANTI-SEBORRHEIC | DEODORANT | HUMECTANT | FLAVOURING | SKIN CONDITIONING - HUMECTANT"
"자일리틸글루코사이드","Xylitylglucoside","XYLITYLGLUCOSIDE","HUMECTANT | SKIN CONDITIONING"
"자작나무껍질추출물","Betula Platyphylla Japonica Bark Extract","BETULA PLATYPHYLLA JAPONICA BARK EXTRACT","SKIN CONDITIONING"
"자작나무수액","Betula Platyphylla Japonica Juice","BETULA PLATYPHYLLA JAPONICA JUICE","SKIN CONDITIONING"
"자주개자리잎추출물","Medicago Sativa (Alfalfa) Leaf Extract","MEDICAGO SATIVA LEAF EXTRACT","SKIN CONDITIONING"
"자주개자리추출물","Medicago Sativa (Alfalfa) Extract","MEDICAGO SATIVA SPROUT EXTRACT","SKIN CONDITIONING"
