"category","rank","brand","name","price","ingredients"
"스킨/토너",11,"성분에디터","성분에디터 그린토마토 모공토너","18,900","전성분 정제수| 글리세린| 다이프로필렌글라이콜| 부틸렌글라이콜| 나이아신아마이드| 토마토추출물(10,000ppm)| 벤질글라이콜| 아데노신| 글리세릴글루코사이드| 자일리톨| 글루코노락톤| 알란토인| 트레할로오스| 판테놀| 인도멀구슬나무잎추출물| 자일리틸글루코사이드| 안하이드로자일리톨| 인도멀구슬나무꽃추출물| 달맞이꽃추출물| 칡뿌리추출물| 대왕송잎추출물| 당느릅나무뿌리추출물| 세라마이드엔피| 토코페롤| 하이드로제네이티드폴리아이소부텐| 소듐하이알루로네이트크로스폴리머| 하이드롤라이즈드글라이코사미노글리칸| 하이드롤라이즈드콜라겐| 소듐하이알루로네이트| 데이지꽃추출물| 하이드롤라이즈드하이알루로닉애씨드| 하이알루로닉애씨드| 지모뿌리추출물| C12-13파레스-9| 1,2-헥산다이올| 에틸헥실글리세린| 하이드롤라이즈드스클레로튬검| 프로판다이올| 페네틸알코올| 소듐클로라이드| 포타슘클로라이드| 다이소듐포스페이트| 포타슘포스페이트"
"스킨/토너",12,"에스트라","에스트라 에이시카365 수분진정결토너  대용량","31,500","정제수| 부틸렌글라이콜| 글리세린| 글루코노락톤| 트로메타민| 1,2-헥산다이올| 판테놀| 프로판다이올| 폴리쿼터늄-51| 에틸헥실글리세린| 다이소듐이디티에이| 마데카소사이드| 베타-글루칸| 폴리글리세릴-10라우레이트| 토코페롤| 스쿠알란| 피토스테롤"
"스킨/토너",13,"라로슈포제","라로슈포제 시카플라스트 로션 B5 판테놀 시카에센스 토너","26,400",""
"스킨/토너",14,"피지오겔","피지오겔 DMT 에센스 인 토너","20,500","정제수| 다이프로필렌글라이콜| 글리세린| 1,2-헥산다이올| 헥실데실에틸헥사노에이트| 펜타에리스리틸테트라에틸헥사노에이트| 변성알코올| 베타인| 사이클로펜타실록세인| 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머| 트로메타민| 다이메티콘| 피토스테롤| 소듐하이알루로네이트| 트라이소듐이디티에이| 세린| 소듐피씨에이| 하이드록시에틸우레아| 알지닌| 카프릴릭/카프릭트라이글리세라이드| 스쿠알란"
"스킨/토너",15,"더랩바이블랑두","더랩바이블랑두 올리고 히알루론산 딥 토너  대용량","28,900","정제수| 부틸렌글라이콜| 1,2-헥산다이올| 글리세린| 베타-글루칸| 베타인| 소듐하이알루로네이트(2,700 ppm)| 판테놀| 솔비톨| 아세틸글루코사민| 글루쿠로닉애씨드| 알란토인| 토코페롤| 에틸헥실글리세린| 다이소듐이디티에이"
"스킨/토너",16,"한율","한율X둘리 어린쑥 토너","20,800","정제수| 부틸렌글라이콜| 베타인| 글리세린| 황해쑥잎수(18,944 ppm)| 1,2-헥산다이올| 판테놀(5,000 ppm)| 피피지-13-데실테트라데세스-24| 2,3-부탄다이올| 향료| 에틸헥실글리세린| 잔탄검| 다이소듐이디티에이| 프로판다이올| 레시틴| 락토바실러스발효물| 이눌린라우릴카바메이트| 황해쑥잎추출물(10 ppm)| 토코페롤| 병풀꽃/잎/줄기추출물"
"스킨/토너",17,"파티온","파티온 노스카나인 트러블 클리어 토너","18,400","정제수| 2,3-부탄다이올| 에톡시다이글라이콜| 글루코노락톤| 1,2-헥산다이올| 글리세린| 메틸프로판다이올| 글리세레스-26| 트로메타민| 카프릴릴글라이콜| 클로렐라 불가리스추출물| 글루코오스| 판테놀| 부틸렌글라이콜| 프룩토올리고사카라이드| 프룩토오스| 옥틸도데세스-16| 트라이소듐에틸렌다이아민다이석시네이트| 에틸헥실글리세린| 소듐파이테이트| 다이프로필렌글라이콜| 알란토인| 하이드록시아세토페논| 폴리글리세릴-10라우레이트| 소듐헤파린| 백미꽃추출물| 접시꽃추출물| 카프릴로일살리실릭애씨드| 쑥잎추출물| 토코페롤| 4-터피네올| 펜틸렌글라이콜| 카프릴릴/카프릴글루코사이드| 하이드로제네이티드레시틴| 세라마이드엔피"
"스킨/토너",18,"브링그린","브링그린 티트리시카수딩토너","27,000","티트리추출물| 정제수| 다이프로필렌글라이콜| 티트리잎추출물| 티트리잎수| 병풀추출물| 1,2-헥산다이올| 부틸렌글라이콜| 티트리꽃/잎/줄기추출물| 베타인| 판테놀| 옥틸도데세스-16| 소듐시트레이트| 시트릭애씨드| 티트리잎오일| 베타인살리실레이트| 잔탄검"
"스킨/토너",19,"아비브","아비브 어성초 카밍 토너 스킨부스터","23,000","정제수| 약모밀추출물| 글리세린| 부틸렌글라이콜| 펜틸렌글라이콜| 자일리톨| 비피다발효용해물| 소듐하이알루로네이트| 돌콩추출물| 병풀추출물| 하이드롤라이즈드하이알루로닉애씨드| 황금추출물| 파스향나무잎추출물| 인동덩굴꽃추출물| 베타인| 1,2-헥산다이올| 판테놀| 에틸헥실글리세린| 옥탄다이올| 토코페롤| 바이오사카라이드검-4| 다이소듐이디티에이| 잔탄검"
"스킨/토너",20,"디오디너리","디오디너리 글리코릭 애시드 7% 엑스폴리에이팅 토너","13,700","정제수| 글라이콜릭애씨드(7%)| 다마스크장미꽃수| 수레국화꽃수| 알로에베라잎수| 프로판다이올| 글리세린| 트라이에탄올아민| 아미노메틸프로판올| 인삼추출물| 마운틴페퍼열매추출물| 마운틴페퍼잎추출물| 아스파틱애씨드| 알라닌| 글라이신| 세린| 발린| 이소류신| 프롤린| 트레오닌| 히스티딘| 페닐알라닌| 글루타믹애씨드| 알지닌| 피씨에이| 소듐피씨에이| 소듐락테이트| 프룩토오스| 글루코오스| 수크로오스| 우레아| 헥실니코티네이트| 덱스트린| 시트릭애씨드| 폴리솔베이트20| 젤란검| 트라이소듐에틸렌다이아민다이석시네이트| 소듐클로라이드| 헥실렌글라이콜| 포타슘솔베이트| 소듐벤조에이트| 1,2-헥산다이올| 카프릴릴글라이콜"
